ip,channel,strength,ssid,time,lat,lon
B8:D7:AF:19:A9:9B,1,-83,sandlab_11mc_test,1668710582,n/a,n/a
24:F5:A2:2D:EB:91,1,-52,LAA-Coexistence Experiment,1668710582,n/a,n/a
64:66:B3:6F:90:2B,11,-83,TKN-VRULab,1668710582,n/a,n/a
C8:84:A1:93:04:42,11,-63,eduroam,1668710582,n/a,n/a
C8:84:A1:7D:60:A2,11,-66,eduroam,1668710582,n/a,n/a
C8:84:A1:93:04:43,11,-63,TUB-Guest,1668710582,n/a,n/a
64:70:02:3E:AA:D1,13,-60,Schwammerl2,1668710582,n/a,n/a
C8:84:A1:7D:60:A3,11,-66,TUB-Guest,1668710582,n/a,n/a
C8:84:A1:7D:60:A6,11,-66,_Free_Wifi_Berlin,1668710582,n/a,n/a
C8:84:A1:7D:60:A1,11,-67, ,1668710582,n/a,n/a
CC:DB:93:1A:35:83,6,-82,TUB-Guest,1668710582,n/a,n/a
C8:84:A1:93:04:46,11,-63,_Free_Wifi_Berlin,1668710582,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710582,n/a,n/a
CC:DB:93:1A:35:86,6,-81,_Free_Wifi_Berlin,1668710582,n/a,n/a
C8:84:A1:93:04:41,11,-63, ,1668710582,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710582,n/a,n/a
C8:84:A1:7C:DA:A1,1,-70, ,1668710582,n/a,n/a
C8:84:A1:7C:DA:A2,1,-71,eduroam,1668710582,n/a,n/a
C8:84:A1:7C:DA:A3,1,-70,TUB-Guest,1668710582,n/a,n/a
C8:84:A1:7C:DA:A6,1,-70,_Free_Wifi_Berlin,1668710582,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710582,n/a,n/a
B8:D7:AF:19:A9:9B,1,-85,sandlab_11mc_test,1668710585,n/a,n/a
24:F5:A2:2D:EB:91,1,-52,LAA-Coexistence Experiment,1668710585,n/a,n/a
64:66:B3:6F:90:2B,11,-82,TKN-VRULab,1668710585,n/a,n/a
C8:84:A1:93:04:42,11,-63,eduroam,1668710585,n/a,n/a
C8:84:A1:7D:60:A2,11,-68,eduroam,1668710585,n/a,n/a
C8:84:A1:93:04:43,11,-63,TUB-Guest,1668710585,n/a,n/a
64:70:02:3E:AA:D1,13,-62,Schwammerl2,1668710585,n/a,n/a
C8:84:A1:7D:60:A3,11,-67,TUB-Guest,1668710585,n/a,n/a
C8:84:A1:7D:60:A6,11,-67,_Free_Wifi_Berlin,1668710585,n/a,n/a
C8:84:A1:7D:60:A1,11,-67, ,1668710585,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710585,n/a,n/a
C8:84:A1:93:04:46,11,-63,_Free_Wifi_Berlin,1668710585,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710585,n/a,n/a
CC:DB:93:1A:35:86,6,-85,_Free_Wifi_Berlin,1668710585,n/a,n/a
C8:84:A1:93:04:41,11,-63, ,1668710585,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710585,n/a,n/a
C8:84:A1:7C:DA:A1,1,-72, ,1668710585,n/a,n/a
C8:84:A1:7C:DA:A2,1,-71,eduroam,1668710585,n/a,n/a
C8:84:A1:7C:DA:A3,1,-70,TUB-Guest,1668710585,n/a,n/a
C8:84:A1:7C:DA:A6,1,-70,_Free_Wifi_Berlin,1668710585,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710585,n/a,n/a
B8:D7:AF:19:A9:9B,1,-80,sandlab_11mc_test,1668710587,n/a,n/a
24:F5:A2:2D:EB:91,1,-52,LAA-Coexistence Experiment,1668710587,n/a,n/a
64:66:B3:6F:90:2B,11,-83,TKN-VRULab,1668710587,n/a,n/a
C8:84:A1:93:04:42,11,-72,eduroam,1668710587,n/a,n/a
C8:84:A1:7D:60:A2,11,-71,eduroam,1668710587,n/a,n/a
C8:84:A1:93:04:43,11,-73,TUB-Guest,1668710587,n/a,n/a
64:70:02:3E:AA:D1,13,-60,Schwammerl2,1668710587,n/a,n/a
C8:84:A1:7D:60:A3,11,-71,TUB-Guest,1668710587,n/a,n/a
C8:84:A1:7D:60:A6,11,-72,_Free_Wifi_Berlin,1668710587,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710587,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710587,n/a,n/a
C8:84:A1:93:04:46,11,-72,_Free_Wifi_Berlin,1668710587,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710587,n/a,n/a
CC:DB:93:1A:35:86,6,-83,_Free_Wifi_Berlin,1668710587,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710587,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710587,n/a,n/a
C8:84:A1:7C:DA:A1,1,-69, ,1668710587,n/a,n/a
C8:84:A1:7C:DA:A2,1,-70,eduroam,1668710587,n/a,n/a
C8:84:A1:7C:DA:A3,1,-70,TUB-Guest,1668710587,n/a,n/a
C8:84:A1:7C:DA:A6,1,-69,_Free_Wifi_Berlin,1668710587,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710587,n/a,n/a
5C:E1:76:66:02:E1,1,-86, ,1668710587,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710587,n/a,n/a
B8:D7:AF:19:A9:9B,1,-82,sandlab_11mc_test,1668710590,n/a,n/a
24:F5:A2:2D:EB:91,1,-52,LAA-Coexistence Experiment,1668710590,n/a,n/a
64:66:B3:6F:90:2B,11,-86,TKN-VRULab,1668710590,n/a,n/a
C8:84:A1:93:04:42,11,-73,eduroam,1668710590,n/a,n/a
C8:84:A1:7D:60:A2,11,-73,eduroam,1668710590,n/a,n/a
C8:84:A1:93:04:43,11,-72,TUB-Guest,1668710590,n/a,n/a
64:70:02:3E:AA:D1,13,-64,Schwammerl2,1668710590,n/a,n/a
C8:84:A1:7D:60:A3,11,-71,TUB-Guest,1668710590,n/a,n/a
C8:84:A1:7D:60:A6,11,-71,_Free_Wifi_Berlin,1668710590,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710590,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710590,n/a,n/a
C8:84:A1:93:04:46,11,-72,_Free_Wifi_Berlin,1668710590,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710590,n/a,n/a
CC:DB:93:1A:35:86,6,-83,_Free_Wifi_Berlin,1668710590,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710590,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710590,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710590,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710590,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710590,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710590,n/a,n/a
