ip,channel,strength,ssid,time,lat,lon
58:90:43:69:22:15,1,-94,KabelBox-2210,1673188939,52.51698702123777,13.326314511994406
54:67:51:A0:C3:4E,6,-46,KabelBox-C1A8,1673188939,52.514276470200436,13.329733958658194
D8:7D:7F:21:5D:75,6,-98,KabelBox-5D70,1673188939,52.5142617905114,13.323067842099709
54:67:51:B8:B2:F0,11,-80,2Girls1Router,1673188939,52.51694058224363,13.329628047771754
54:67:51:A1:D5:6A,11,-94,KabelBox-CC34,1673188939,52.513406843826914,13.325246293788517
B8:D9:4D:7C:BB:2D,11,-98,KabelBox-BB28,1673188939,52.51657412225984,13.328342229917485
54:67:51:BA:CB:CE,11,-88,KabelBox-CCF0,1673188939,52.51388137947603,13.32500476327102
D8:7D:7F:21:F2:A5,1,-98,KabelBox-F2A0,1673188939,52.51786808054775,13.327363016030608
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1673188939,52.51620177700247,13.328189963477307
90:5C:44:1E:80:36,1,-102,KabelBox-CED2,1673188939,52.51611226030449,13.325532233233929
54:67:51:E8:7A:93,1,-100,KabelBox-F080,1673188939,52.51590126879838,13.330350721847767
54:67:51:7F:8F:65,6,-92,KabelBox-F76C,1673188939,52.514851265955684,13.330877499777836
B8:EE:0E:40:FC:9D,1,-102,KabelBox-FC98,1673188939,52.51374378249485,13.330315344019342
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1673188939,52.51772367618936,13.329385285942683
2C:58:4F:97:D4:E5,6,-100,FK-Kollektiv,1673188939,52.515321823212204,13.329367260025831
2E:58:4F:97:D4:95,6,-100,Vodafone Hotspot,1673188939,52.5147335126939,13.330568843165135
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1673188939,52.51439895645827,13.328563382703411
2E:58:4F:97:D4:B5,6,-100,Vodafone Homespot,1673188939,52.51425410839538,13.329159847864108
58:90:43:69:22:15,1,-92,KabelBox-2210,1673188944,52.517567365220906,13.32413541231612
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1673188944,52.5132783360562,13.326478981340822
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1673188944,52.51756325308339,13.327301854353875
54:67:51:B8:B2:F0,11,-80,2Girls1Router,1673188944,52.51474676822067,13.32523307016882
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1673188944,52.516539310962415,13.329554257449342
B8:D9:4D:7C:BB:2D,11,-98,KabelBox-BB28,1673188944,52.51321527713475,13.327008385602527
54:67:51:BA:CB:CE,11,-88,KabelBox-CCF0,1673188944,52.51432756202499,13.33075375207645
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1673188944,52.51304588880502,13.32911769455
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1673188944,52.51518679640644,13.328135575479939
90:5C:44:1E:80:36,1,-102,KabelBox-CED2,1673188944,52.515740258524666,13.325208983029695
54:67:51:E8:7A:93,1,-100,KabelBox-F080,1673188944,52.51696728523924,13.328318135093756
54:67:51:7F:8F:65,6,-92,KabelBox-F76C,1673188944,52.51758188712997,13.329758339414347
B8:EE:0E:40:FC:9D,1,-100,KabelBox-FC98,1673188944,52.51381796800664,13.325903054307934
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1673188944,52.51583500834168,13.329991723131673
2C:58:4F:97:D4:E5,6,-100,FK-Kollektiv,1673188944,52.516086109479154,13.325465262426988
2E:58:4F:97:D4:95,6,-102,Vodafone Hotspot,1673188944,52.51699294896691,13.323519419847454
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1673188944,52.51420511518927,13.324601285926036
2E:58:4F:97:D4:B5,6,-100,Vodafone Homespot,1673188944,52.515185030591695,13.327337512545068
AC:22:05:89:0E:CE,6,-100,KabelBox-AF0C,1673188944,52.51484023380152,13.327391984100514
54:67:51:7E:34:E6,6,-98,KabelBox-2698,1673188944,52.513437536314264,13.32709895583581
58:90:43:69:22:15,1,-94,KabelBox-2210,1673188949,52.51530983537746,13.323095801391995
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1673188949,52.51428853910249,13.328527463966095
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1673188949,52.51751037878831,13.323195889089199
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1673188949,52.51727303999059,13.32797063547814
54:67:51:A1:D5:6A,11,-90,KabelBox-CC34,1673188949,52.51569581143785,13.324558737718963
B8:D9:4D:7C:BB:2D,11,-96,KabelBox-BB28,1673188949,52.517849397088,13.328300961101341
54:67:51:BA:CB:CE,11,-98,KabelBox-CCF0,1673188949,52.51631955290758,13.329668064183162
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1673188949,52.51653816656234,13.329960940325115
54:67:51:4E:09:A1,6,-96,KabelBox-501C,1673188949,52.51416572664523,13.327932197959866
90:5C:44:1E:80:36,1,-102,KabelBox-CED2,1673188949,52.51325595603823,13.329503983538364
54:67:51:E8:7A:93,1,-102,KabelBox-F080,1673188949,52.51320762459281,13.323639456338185
54:67:51:7F:8F:65,6,-94,KabelBox-F76C,1673188949,52.51607197380839,13.324840569001914
B8:EE:0E:40:FC:9D,1,-102,KabelBox-FC98,1673188949,52.51469527696718,13.325638237993973
54:67:51:4B:54:2C,6,-96,KabelBox-E730,1673188949,52.51636676286317,13.330525890806756
2C:58:4F:97:D4:E5,6,-100,FK-Kollektiv,1673188949,52.5179347238969,13.326882585815605
2E:58:4F:97:D4:95,6,-98,Vodafone Hotspot,1673188949,52.51497899697919,13.326315199863368
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1673188949,52.517538901687836,13.32638910840477
2E:58:4F:97:D4:B5,6,-100,Vodafone Homespot,1673188949,52.514559040235596,13.328427405485396
